Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,AAPL,2024-01-02 10:47:06,50,176.12,176.12,-8806.0,-1.61,0,0,0,O
Trades,Data,Order,Stocks,USD,AAPL,2024-01-03 13:38:01,50,175.47,175.47,-8773.5,-1.47,0,0,0,O
Trades,Data,Order,Stocks,USD,V,2024-01-04 15:00:48,100,268.35,268.35,-26835.0,-0.74,0,0,0,O
Trades,Data,Order,Stocks,USD,NVDA,2024-01-05 12:06:22,100,490.88,490.88,-49088.0,-1.02,0,0,0,O
Trades,Data,Order,Stocks,USD,MSFT,2024-01-08 12:05:35,15,406.81,406.81,-6102.15,-1.74,0,0,0,O
Trades,Data,Order,Stocks,USD,XOM,2024-01-09 09:42:14,100,112.68,112.68,-11268.0,-0.93,0,0,0,O
Trades,Data,Order,Stocks,USD,NVDA,2024-01-15 11:44:59,5,533.8,533.8,-2669.0,-1.41,0,0,0,O
Trades,Data,Order,Stocks,USD,JPM,2024-01-17 14:44:35,10,180.8,180.8,-1808.0,-1.53,0,0,0,O
Trades,Data,Order,Stocks,USD,AAPL,2024-01-17 12:17:04,-50,190.13,190.13,9506.5,-1.91,8806.0,698.59,0,O
Trades,Data,Order,Stocks,USD,GOOGL,2024-01-18 14:29:09,15,147.8,147.8,-2217.0,-0.71,0,0,0,O
Trades,Data,Order,Stocks,USD,JNJ,2024-01-18 13:25:23,10,158.57,158.57,-1585.7,-2.0,0,0,0,O
Trades,Data,Order,Stocks,USD,PG,2024-01-23 15:00:43,50,169.57,169.57,-8478.5,-0.67,0,0,0,O
Trades,Data,Order,Stocks,USD,JNJ,2024-01-24 11:27:10,50,156.8,156.8,-7840.0,-1.81,0,0,0,O
Trades,Data,Order,Stocks,USD,JNJ,2024-01-24 13:58:06,15,165.24,165.24,-2478.6,-1.76,0,0,0,O
Trades,Data,Order,Stocks,USD,MSFT,2024-01-25 15:59:33,25,406.97,406.97,-10174.25,-0.99,0,0,0,O
Trades,Data,Order,Stocks,USD,MSFT,2024-01-29 09:05:46,5,423.9,423.9,-2119.5,-1.97,0,0,0,O
Trades,Data,Order,Stocks,USD,GOOGL,2024-01-29 10:16:33,20,172.61,172.61,-3452.2,-1.95,0,0,0,O
Trades,Data,Order,Stocks,USD,BAC,2024-01-29 14:41:23,20,33.19,33.19,-663.8,-1.85,0,0,0,O
Trades,Data,Order,Stocks,USD,AAPL,2024-01-31 09:32:15,-50,191.49,191.49,9574.5,-1.23,8773.5,799.77,0,O
Trades,Data,Order,Stocks,USD,GOOGL,2024-02-01 10:06:06,15,166.34,166.34,-2495.1,-1.14,0,0,0,O
Trades,Data,Order,Stocks,USD,MSFT,2024-02-02 09:03:25,100,429.21,429.21,-42921.0,-1.79,0,0,0,O
Trades,Data,Order,Stocks,USD,GOOGL,2024-02-07 09:28:51,25,141.24,141.24,-3531.0,-0.65,0,0,0,O
Trades,Data,Order,Stocks,USD,AAPL,2024-02-08 15:15:10,20,193.16,193.16,-3863.2,-1.23,0,0,0,O
Trades,Data,Order,Stocks,USD,BAC,2024-02-08 10:24:00,15,37.22,37.22,-558.3,-1.89,0,0,0,O
Trades,Data,Order,Stocks,USD,UNH,2024-02-09 15:35:42,50,547.01,547.01,-27350.5,-1.23,0,0,0,O
Trades,Data,Order,Stocks,USD,AMZN,2024-02-12 10:04:38,5,148.61,148.61,-743.05,-1.51,0,0,0,O
Trades,Data,Order,Stocks,USD,V,2024-02-15 09:26:42,25,261.19,261.19,-6529.75,-0.97,0,0,0,O
Trades,Data,Order,Stocks,USD,NVDA,2024-02-15 12:08:42,20,545.47,545.47,-10909.4,-0.97,0,0,0,O
Trades,Data,Order,Stocks,USD,AMZN,2024-02-16 09:04:34,-5,189.93,189.93,949.65,-0.9,743.05,205.7,0,O
Trades,Data,Order,Stocks,USD,XOM,2024-02-16 11:18:10,-100,115.83,115.83,11583.0,-1.31,11268.0,313.69,0,O
Trades,Data,Order,Stocks,USD,MSFT,2024-02-21 10:43:40,25,415.88,415.88,-10397.0,-1.23,0,0,0,O
Trades,Data,Order,Stocks,USD,GOOGL,2024-02-22 09:00:21,50,167.32,167.32,-8366.0,-1.97,0,0,0,O
